URL,최종 크롤링
https://livingcostcheck.com/salary-check/austin-tx/120000,2026-01-18
https://www.livingcostcheck.com/salary-check/chicago-il/110000,2026-01-17
https://livingcostcheck.com/salary-check/new-york-ny/140000,2026-01-17
https://www.livingcostcheck.com/salary-check/new-york-ny/140000,2026-01-17
https://livingcostcheck.com/salary-check/seattle-wa/120000,2026-01-17
https://www.livingcostcheck.com/salary-check/seattle-wa/120000,2026-01-17
https://livingcostcheck.com/salary-check/san-francisco-ca/200000,2026-01-17
https://www.livingcostcheck.com/salary-check/san-francisco-ca/200000,2026-01-17
https://livingcostcheck.com/salary-check/dallas-tx/160000,2026-01-17
https://www.livingcostcheck.com/salary-check/dallas-tx/160000,2026-01-17
https://livingcostcheck.com/salary-check/san-francisco-ca/50000,2026-01-17
https://www.livingcostcheck.com/salary-check/new-york-ny/160000,2026-01-17
https://livingcostcheck.com/salary-check/miami-fl/120000,2026-01-17
https://www.livingcostcheck.com/salary-check/miami-fl/120000,2026-01-17
https://livingcostcheck.com/salary-check/san-francisco-ca/20000,2026-01-17
https://www.livingcostcheck.com/salary-check/san-francisco-ca/20000,2026-01-17
https://livingcostcheck.com/salary-check/miami-fl/30000,2026-01-17
https://livingcostcheck.com/salary-check/los-angeles-ca/30000,2026-01-17
https://livingcostcheck.com/salary-check/dallas-tx/100000,2026-01-17
https://www.livingcostcheck.com/salary-check/dallas-tx/100000,2026-01-17
https://livingcostcheck.com/salary-check/nashville-tn/200000,2026-01-17
https://www.livingcostcheck.com/salary-check/nashville-tn/200000,2026-01-17
https://livingcostcheck.com/salary-check/new-york-ny/60000,2026-01-17
https://livingcostcheck.com/salary-check/los-angeles-ca/160000,2026-01-17
https://www.livingcostcheck.com/salary-check/los-angeles-ca/160000,2026-01-17
https://livingcostcheck.com/salary-check/austin-tx/40000,2026-01-17
https://www.livingcostcheck.com/salary-check/austin-tx/35000,2026-01-17
https://livingcostcheck.com/salary-check/austin-tx/50000,2026-01-17
https://www.livingcostcheck.com/salary-check/austin-tx/45000,2026-01-17
https://livingcostcheck.com/salary-check/seattle-wa/80000,2026-01-17
https://www.livingcostcheck.com/salary-check/seattle-wa/80000,2026-01-17
https://livingcostcheck.com/salary-check/charlotte-nc/20000,2026-01-17
https://livingcostcheck.com/salary-check/dallas-tx/140000,2026-01-17
https://www.livingcostcheck.com/salary-check/dallas-tx/140000,2026-01-17
https://livingcostcheck.com/salary-check/denver-co/30000,2026-01-17
https://www.livingcostcheck.com/salary-check/denver-co/25000,2026-01-17
https://livingcostcheck.com/salary-check/charlotte-nc/30000,2026-01-17
